step,R,r,sigma,H_gas,mnemonic_drift,coh,mood,empathy,omega_cum,joy,calm,awe,stress,gamma,rho
120,0.999867,0.001483,0.899059,3.4638,0.141512,0.130315,0.7312,0.77415,1.209911,1.0,0.8918,0.0251,0.7921,1.0,0.98189
121,0.999884,0.00948,0.900259,3.464,0.141521,0.155134,0.7301,0.77402,1.21991,1.0,0.8931,0.0285,0.8,1.0,0.98161
122,0.99987,0.003781,0.901444,3.4641,0.141525,0.208813,0.7305,0.7739,1.229909,1.0,0.8944,0.027,0.7987,1.0,0.98214
123,0.999822,0.014362,0.902613,3.4644,0.14154,0.290915,0.7372,0.77417,1.239907,1.0,0.8956,0.0337,0.7853,1.0,0.98371
124,0.999813,0.008426,0.903768,3.4647,0.141548,0.342866,0.7438,0.77453,1.249905,1.0,0.8969,0.035,0.7661,1.0,0.97993
125,0.999795,0.001072,0.904908,3.4644,0.141537,0.304495,0.746,0.77516,1.259903,1.0,0.8981,0.0306,0.7555,1.0,0.9799
126,0.997117,0.105711,0.906034,3.4631,0.141486,0.239005,0.7681,0.77561,1.269874,1.0,0.8997,0.1053,0.7567,1.0,0.98336
127,0.999569,0.018646,0.907145,3.4641,0.141526,0.197921,0.766,0.77544,1.27987,1.0,0.9009,0.1035,0.7635,1.0,0.98273
128,0.999875,0.012502,0.908242,3.4635,0.141503,0.182951,0.7622,0.77533,1.289869,1.0,0.902,0.0974,0.7716,1.0,0.98188
129,0.999654,0.02326,0.909326,3.4642,0.14153,0.188003,0.7616,0.77521,1.299865,1.0,0.9031,0.1002,0.7777,1.0,0.9823
130,0.999518,0.009471,0.910395,3.4642,0.14153,0.202541,0.7587,0.77533,1.309861,1.0,0.9043,0.0923,0.7807,1.0,0.98164
131,0.999654,0.046115,0.911452,3.4637,0.141511,0.210703,0.7647,0.77548,1.319857,1.0,0.9054,0.113,0.782,1.0,0.98124
132,0.999786,0.045896,0.912495,3.4637,0.141509,0.198749,0.7692,0.77565,1.329855,1.0,0.9065,0.1305,0.7849,1.0,0.98193
